Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
DRR381601_assembly	100	0.07	Neural Network (Specific Model)	11	0.877	209957	294.167353051292	5363512	0.5	5342	None
DRR381603_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	187928	293.042264010426	5374812	0.5	5371	None
DRR381607_assembly	100	0.04	Neural Network (Specific Model)	11	0.878	187928	296.003960769521	5354432	0.5	5302	None
DRR381616_assembly	100	0.08	Neural Network (Specific Model)	11	0.876	187937	290.529836916234	5355901	0.5	5396	None
DRR381634_assembly	100	0.11	Neural Network (Specific Model)	11	0.878	193471	292.455736477634	5330460	0.5	5343	None
DRR381635_assembly	100	0.05	Neural Network (Specific Model)	11	0.877	187510	294.655673560648	5397354	0.5	5367	None
DRR381661_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	249980	292.023638426626	5271316	0.5	5288	None
DRR381665_assembly	100	0.03	Neural Network (Specific Model)	11	0.877	145213	286.555122494432	5271825	0.5	5388	None
DRR381669_assembly	100	0.05	Neural Network (Specific Model)	11	0.876	148325	287.423856502242	5473743	0.5	5575	None
DRR381701_assembly	100	0.03	Neural Network (Specific Model)	11	0.876	147335	287.533602644142	5353005	0.5	5446	None
DRR381723_assembly	100	0.05	Neural Network (Specific Model)	11	0.877	183166	295.435165677073	5263610	0.5	5221	None
DRR381735_assembly	100	0.03	Neural Network (Specific Model)	11	0.879	211702	299.521789883268	5245928	0.5	5140	None
DRR381740_assembly	100	0.1	Neural Network (Specific Model)	11	0.877	163748	292.312188825373	5411884	0.5	5423	None
DRR381743_assembly	100	0.11	Neural Network (Specific Model)	11	0.878	187345	293.886161978478	5306835	0.5	5297	None
DRR381744_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	183740	292.333520284165	5335604	0.5	5349	None
DRR381745_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	170369	296.470111839568	5248101	0.5	5186	None
DRR381749_assembly	100	0.08	Neural Network (Specific Model)	11	0.877	244541	296.746486897076	5332888	0.5	5266	None
SRR10119255_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	148119	290.516044776119	5317260	0.5	5360	None
SRR10119414_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	183739	291.646577380952	5354571	0.5	5376	None
SRR10337442_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	167771	294.592307692308	5230958	0.5	5200	None
SRR10506462_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	116768	294.706801295485	5278695	0.5	5249	None
SRR10520171_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	164270	288.9565376187	5407799	0.5	5476	None
SRR13160357_assembly	100	0.03	Neural Network (Specific Model)	11	0.877	131621	287.177100344765	5404388	0.5	5511	None
SRR13160359_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	139729	293.95336592704	5334702	0.5	5318	None
SRR13160360_assembly	100	0.11	Neural Network (Specific Model)	11	0.875	126919	289.5946783306	5435595	0.5	5487	None
SRR13167188_assembly	100	0.06	Neural Network (Specific Model)	11	0.878	108525	291.750558867362	5343143	0.5	5368	None
SRR14419375_assembly	100	0.03	Neural Network (Specific Model)	11	0.875	127737	292.016147635525	5194720	0.5	5202	None
SRR14419377_assembly	100	0.03	Neural Network (Specific Model)	11	0.876	160455	287.41701970897	5336317	0.5	5429	None
SRR14419379_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	134071	290.538186606471	5279604	0.5	5316	None
SRR14419381_assembly	100	0.07	Neural Network (Specific Model)	11	0.875	121858	291.592898272553	5198179	0.5	5210	None
SRR14419383_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	159148	289.710301227222	5323945	0.5	5378	None
SRR14419387_assembly	100	0.03	Neural Network (Specific Model)	11	0.874	110217	289.659654395192	5281263	0.5	5324	None
SRR1509643_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	187590	291.533769878391	5323836	0.5	5345	None
SRR15277995_assembly	100	0.08	Neural Network (Specific Model)	11	0.876	145228	282.726071428571	5411971	0.5	5600	None
SRR15277999_assembly	100	0.08	Neural Network (Specific Model)	11	0.876	146104	281.334641455583	5393135	0.5	5606	None
SRR15376141_assembly	100	0.37	Neural Network (Specific Model)	11	0.876	160453	289.511946656788	5345530	0.5	5399	None
SRR15376142_assembly	100	0.25	Neural Network (Specific Model)	11	0.875	183877	289.544038568515	5342023	0.5	5393	None
SRR15376143_assembly	100	0.25	Neural Network (Specific Model)	11	0.875	183934	290.072848912842	5340498	0.5	5381	None
SRR15376144_assembly	100	0.26	Neural Network (Specific Model)	11	0.875	106783	289.346484667165	5296721	0.5	5348	None
SRR15376145_assembly	100	0.25	Neural Network (Specific Model)	11	0.875	120751	288.756102105459	5302821	0.5	5367	None
SRR15376146_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	98956	288.158831241806	5265091	0.5	5339	None
SRR15376147_assembly	100	0.25	Neural Network (Specific Model)	11	0.875	129017	288.524091919941	5327583	0.5	5396	None
SRR15376149_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	124152	288.19353640416	5315630	0.5	5384	None
SRR15376150_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	157170	287.439160319524	5291684	0.5	5383	None
SRR15376151_assembly	100	0.24	Neural Network (Specific Model)	11	0.874	84736	280.551956098424	5430699	0.5	5649	None
SRR15376152_assembly	100	0.42	Neural Network (Specific Model)	11	0.875	121933	287.300663227708	5336866	0.5	5428	None
SRR15376153_assembly	100	0.26	Neural Network (Specific Model)	11	0.875	187940	289.705066568047	5359417	0.5	5408	None
SRR15376154_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	115661	288.487927191679	5320281	0.5	5384	None
SRR15415532_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	45358	290.400877695096	5213785	0.51	5241	None
SRR15415538_assembly	100	0.04	Neural Network (Specific Model)	11	0.874	39851	286.818705838602	5283370	0.51	5378	None
SRR15415539_assembly	100	0.07	Neural Network (Specific Model)	11	0.875	102488	284.9563080284	5354305	0.5	5493	None
SRR15415540_assembly	100	0.02	Neural Network (Specific Model)	11	0.873	57206	290.411225658648	5220379	0.51	5238	None
SRR15415542_assembly	100	0.01	Neural Network (Specific Model)	11	0.875	38183	283.345335515548	5330324	0.51	5499	None
SRR15415547_assembly	100	0.03	Neural Network (Specific Model)	11	0.876	35396	297.870282081843	5125580	0.51	5034	None
SRR15415549_assembly	100	0.03	Neural Network (Specific Model)	11	0.874	37916	289.204416761042	5250268	0.51	5298	None
SRR15415554_assembly	100	0.01	Neural Network (Specific Model)	11	0.875	86359	292.268996960486	5263749	0.5	5264	None
SRR15415555_assembly	100	0.01	Neural Network (Specific Model)	11	0.874	42628	287.737438609747	5217070	0.51	5294	None
SRR15415556_assembly	100	0.1	Neural Network (Specific Model)	11	0.874	87623	284.638791025403	5255708	0.5	5393	None
SRR15415557_assembly	100	0.06	Neural Network (Specific Model)	11	0.875	32795	287.695232690125	5206307	0.51	5286	None
SRR15415573_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	54538	289.74395313681	5243757	0.51	5292	None
SRR15415574_assembly	100	0.17	Neural Network (Specific Model)	11	0.876	50456	289.714205502527	5289555	0.51	5343	None
SRR15415578_assembly	100	0.03	Neural Network (Specific Model)	11	0.872	34776	283.688248502994	5202704	0.51	5344	None
SRR15415580_assembly	100	0.05	Neural Network (Specific Model)	11	0.875	244564	293.843097014925	5386867	0.5	5360	None
SRR15415610_assembly	100	0.01	Neural Network (Specific Model)	11	0.875	34319	294.72569854388	5128081	0.51	5082	None
SRR15415611_assembly	100	0.05	Neural Network (Specific Model)	11	0.874	48978	291.756663470757	5212748	0.51	5215	None
SRR15415613_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	183359	291.99963649582	5487990	0.5	5502	None
SRR15415620_assembly	100	0.2	Neural Network (Specific Model)	11	0.877	35339	287.567612380251	5329002	0.51	5428	None
SRR15415621_assembly	100	0.07	Neural Network (Specific Model)	11	0.875	91724	290.972366468843	5365523	0.5	5392	None
SRR15415622_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	92038	289.682972021493	5344857	0.5	5397	None
SRR15415624_assembly	100	0.12	Neural Network (Specific Model)	11	0.875	148119	289.231676342525	5456358	0.5	5512	None
SRR15674630_assembly	100	0.01	Neural Network (Specific Model)	11	0.877	145292	286.717009069036	5289784	0.5	5403	None
SRR1714120_assembly	100	0.07	Neural Network (Specific Model)	11	0.877	249422	296.173954554134	5297927	0.5	5237	None
SRR23929852_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	145298	292.296092564492	5262942	0.5	5272	None
SRR25510170_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	225079	287.958596360936	5297387	0.5	5386	None
SRR25523643_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	258736	290.647113767981	5314161	0.5	5353	None
SRR25523645_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	244564	290.764947683109	5315171	0.5	5352	None
SRR25551086_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	244564	290.368391556137	5310124	0.5	5353	None
SRR25603927_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	244564	292.345519310086	5325610	0.5	5334	None
SRR25603929_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	244564	290.700988621526	5323184	0.5	5361	None
SRR25603930_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	258736	291.481779106709	5327168	0.5	5351	None
SRR2914453_assembly	100	0.07	Neural Network (Specific Model)	11	0.878	71294	286.698635057471	5440290	0.5	5568	None
SRR2914455_assembly	100	0.03	Neural Network (Specific Model)	11	0.878	83874	287.367582417582	5347984	0.5	5460	None
SRR3180501_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	187936	291.421880784895	5379738	0.5	5402	None
SRR3180502_assembly	100	0.1	Neural Network (Specific Model)	11	0.877	208140	293.80037278658	5381301	0.5	5365	None
SRR3180707_assembly	100	0.09	Neural Network (Specific Model)	11	0.876	201736	291.847846354652	5346860	0.5	5363	None
SRR3191403_assembly	100	0.1	Neural Network (Specific Model)	11	0.876	124811	278.257509984372	5477489	0.5	5759	None
SRR3195765_assembly	100	0.07	Neural Network (Specific Model)	11	0.876	133481	291.245670180723	5288403	0.5	5312	None
SRR3195836_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	133173	292.9808171878	5231712	0.5	5213	None
SRR3195839_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	78814	292.627262225645	5203655	0.5	5194	None
SRR3195840_assembly	100	0.07	Neural Network (Specific Model)	11	0.876	124152	291.361325550744	5290646	0.5	5311	None
SRR3195841_assembly	100	0.02	Neural Network (Specific Model)	11	0.873	94094	293.658696490552	5222057	0.5	5186	None
SRR3195851_assembly	100	0.01	Neural Network (Specific Model)	11	0.877	56819	290.789054919464	5114868	0.51	5153	None
SRR3195852_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	111512	293.430301865026	5224022	0.5	5201	None
SRR3205742_assembly	100	0.07	Neural Network (Specific Model)	11	0.876	187504	288.180467475992	5436125	0.5	5519	None
SRR3205757_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	183882	290.699442379182	5343811	0.5	5380	None
SRR3224568_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	187936	291.378138847858	5388127	0.5	5416	None
SRR3224814_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	187932	286.479020349361	5438020	0.5	5553	None
SRR427084__assembly	100	0.01	Neural Network (Specific Model)	11	0.877	148876	293.206428161469	5233649	0.5	5227	None
SRR4301494_assembly	100	0.05	Neural Network (Specific Model)	11	0.872	50869	282.272549019608	5434224	0.5	5610	None
SRR4301497_assembly	100	0.07	Neural Network (Specific Model)	11	0.875	94927	290.417066863687	5382271	0.5	5414	None
SRR4301513_assembly	100	0.16	Neural Network (Specific Model)	11	0.875	57644	285.950670241287	5474887	0.51	5595	None
SRR4301514_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	83506	287.409921203438	5487410	0.5	5584	None
SRR4301519_assembly	100	0.07	Neural Network (Specific Model)	11	0.876	160342	287.736313868613	5386512	0.5	5480	None
SRR4301521_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	160342	284.598152843173	5375064	0.5	5522	None
SRR4301522_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	142218	287.910431256911	5340239	0.5	5426	None
SRR4301525_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	80476	286.216887417219	5327162	0.5	5436	None
SRR4301527_assembly	100	0.11	Neural Network (Specific Model)	11	0.875	89131	284.300491713713	5340623	0.5	5491	None
SRR4301531_assembly	100	0.07	Neural Network (Specific Model)	11	0.875	87654	289.890561129692	5340070	0.5	5382	None
SRR4301544_assembly	100	0.06	Neural Network (Specific Model)	11	0.875	66594	290.15728047425	5359523	0.5	5398	None
SRR4301548_assembly	100	0.16	Neural Network (Specific Model)	11	0.876	105946	290.855733432614	5338908	0.5	5372	None
SRR4301554_assembly	100	0.02	Neural Network (Specific Model)	11	0.874	103753	295.078606001936	5221348	0.5	5165	None
SRR4301555_assembly	100	0.09	Neural Network (Specific Model)	11	0.875	94240	289.537374488658	5330466	0.5	5378	None
SRR4301562_assembly	100	0.04	Neural Network (Specific Model)	11	0.873	70574	283.724968083166	5335271	0.5	5483	None
SRR4301564_assembly	100	0.08	Neural Network (Specific Model)	11	0.875	97989	290.555907566157	5334351	0.5	5366	None
SRR4301569_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	136007	286.389707219494	5379290	0.5	5499	None
SRR4301571_assembly	100	0.03	Neural Network (Specific Model)	11	0.876	160342	289.359073359073	5379478	0.5	5439	None
SRR4301574_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	148119	288.940292972372	5332397	0.5	5393	None
SRR4301577_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	150985	288.328774718167	5333998	0.5	5411	None
SRR4301579_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	143824	286.473990542015	5383950	0.5	5498	None
SRR4301588_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	144669	289.683966635774	5342052	0.5	5395	None
SRR5413253_assembly	100	0.03	Neural Network (Specific Model)	11	0.875	148119	286.826720058245	5394042	0.5	5494	None
SRR5864678_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	170305	288.848288621647	5333604	0.5	5405	None
SRR5870510_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	170305	287.624746075716	5321838	0.5	5415	None
SRR6118141_assembly	100	0.04	Neural Network (Specific Model)	11	0.877	183883	289.275977032784	5334666	0.5	5399	None
SRR6118142_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	148120	289.446792732666	5334071	0.5	5394	None
SRR6373397_assembly	100	0.04	Neural Network (Specific Model)	11	0.876	187937	291.551131052533	5327638	0.5	5349	None
SRR6929601_assembly	100	0.03	Neural Network (Specific Model)	11	0.876	129377	291.660274487686	5301670	0.5	5319	None
SRR6929602_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	166151	292.779469825155	5320039	0.5	5319	None
SRR6929603_assembly	100	0.02	Neural Network (Specific Model)	11	0.875	114902	290.955918214219	5305854	0.5	5331	None
SRR6929604_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	149182	290.446004117537	5302262	0.5	5343	None
SRR6929605_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	142436	290.96398581825	5325825	0.5	5359	None
SRR6929606_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	149180	291.417818453493	5330611	0.5	5354	None
SRR6929607_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	133874	290.535534415221	5320282	0.5	5361	None
SRR6929608_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	241121	291.848739495798	5334411	0.5	5355	None
SRR6929609_assembly	100	0.07	Neural Network (Specific Model)	11	0.876	133481	291.245670180723	5288403	0.5	5312	None
SRR6929610_assembly	100	0.07	Neural Network (Specific Model)	11	0.876	81462	290.999249390129	5301287	0.5	5329	None
SRR6929611_assembly	100	0.05	Neural Network (Specific Model)	11	0.876	160457	292.77417592424	5492100	0.5	5491	None
SRR6929612_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	188070	292.927688272761	5339391	0.5	5338	None
SRR6929613_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	209858	293.402477942557	5339231	0.5	5327	None
SRR6929614_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	209858	294.155078198606	5331574	0.5	5307	None
SRR6929615_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	209858	291.61329588015	5320441	0.5	5340	None
SRR6929616_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	187430	292.52574220218	5318999	0.5	5322	None
SRR6929617_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	188070	292.708630393996	5329253	0.5	5330	None
SRR6929618_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	188070	293.19579500657	5335634	0.5	5327	None
SRR6929619_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	187430	293.095972901769	5322101	0.5	5314	None
SRR6929620_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	188070	293.077688121599	5333546	0.5	5329	None
SRR6929621_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	188070	293.905621357398	5337733	0.5	5319	None
SRR6929622_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	188160	288.484864962842	5438065	0.5	5517	None
SRR6929623_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	187931	287.920809980112	5441395	0.5	5531	None
SRR6929624_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	140321	291.797226386807	5321545	0.5	5336	None
SRR6929625_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	129127	291.236807511737	5301791	0.5	5325	None
SRR6929626_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	244564	291.691341829085	5316436	0.5	5336	None
SRR6929627_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	178153	292.188778382436	5319219	0.5	5329	None
SRR6929628_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	132851	291.223637385278	5312023	0.5	5339	None
SRR6929629_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	132133	295.4701164789	5284732	0.5	5237	None
SRR6929630_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	124229	291.724131455399	5308529	0.5	5325	None
SRR6929631_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	135834	292.03045112782	5311114	0.5	5320	None
SRR6929632_assembly	100	0.08	Neural Network (Specific Model)	11	0.878	241098	294.107553211528	5327145	0.5	5309	None
SRR6929633_assembly	100	0.08	Neural Network (Specific Model)	11	0.878	244541	294.860728439328	5330143	0.5	5299	None
SRR6929634_assembly	100	0.11	Neural Network (Specific Model)	11	0.877	201738	292.569707081943	5385536	0.5	5394	None
SRR6929635_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	188160	290.539029341207	5381107	0.5	5419	None
SRR6929636_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	149419	293.069211961632	5323643	0.5	5317	None
SRR6929637_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	187931	290.691318926975	5329676	0.5	5368	None
SRR6929638_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	188070	292.962303075769	5334160	0.5	5332	None
SRR6929639_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	188070	293.930840067656	5341814	0.5	5321	None
SRR7439153_assembly	100	0.08	Neural Network (Specific Model)	11	0.877	258849	292.20714957667	5303304	0.5	5315	None
SRR7460819_assembly	100	0.02	Neural Network (Specific Model)	11	0.879	58282	293.408396208164	5168224	0.51	5169	None
SRR7896257_assembly	100	0.06	Neural Network (Specific Model)	11	0.877	143787	291.208466603951	5286092	0.5	5315	None
SRR8192791_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	148135	289.777443042741	5253969	0.5	5311	None
SRR8292155_assembly	100	0.06	Neural Network (Specific Model)	11	0.876	160455	291.674012855831	5429063	0.5	5445	None
SRR941218_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	148119	289.282548476454	5354484	0.5	5415	None
SRR9694420_assembly	100	0.01	Neural Network (Specific Model)	11	0.877	81039	295.131070801638	5168042	0.51	5127	None
SRR9994124_assembly	100	0.02	Neural Network (Specific Model)	11	0.876	151905	289.623974645787	5307441	0.5	5364	None
SRR9994125_assembly	100	0.03	Neural Network (Specific Model)	11	0.877	183892	292.830206378987	5327087	0.5	5330	None
SRR9994127_assembly	100	0.02	Neural Network (Specific Model)	11	0.877	160342	294.810440083825	5284093	0.5	5249	None
