Isolate,Stx_type,Accession number
SRR3195839,stx2c_A,AB015057
SRR3195839,stx2c_B,AB015057
SRR6929606,stx1a_A,AB035142
SRR6929606,stx1a_B,AB035142
SRR6929606,stx2a_A,X07865
SRR6929606,stx2a_B,X07865
SRR6929627,stx2c_A,AB015057
SRR6929627,stx2c_B,AB015057
SRR14419381,stx2a_A,X07865
SRR14419381,stx2a_B,X07865
SRR14419381,stx2c_A,AB015057
SRR14419381,stx2c_B,AB015057
SRR6929614,stx2c_A,AB015057
SRR6929614,stx2c_B,AB015057
SRR6929638,stx2c_A,AB015057
SRR6929638,stx2c_B,AB015057
DRR381740,stx2a_A,X07865
DRR381740,stx2a_B,X07865
SRR4301571,stx2c_A,AB015057
SRR4301571,stx2c_B,AB015057
SRR15415578,stx2c_A,M59432
SRR15415578,stx2c_B,M59432
SRR6929610,stx1a_A,AB035142
SRR6929610,stx1a_B,AB035142
SRR6929610,stx2a_A,X07865
SRR6929610,stx2a_B,X07865
SRR15415624,stx2a_A,X07865
SRR15415624,stx2a_B,X07865
SRR15415624,stx2c_A,AB015057
SRR15415624,stx2c_B,AB015057
SRR7439153,stx1a_A,AB035142
SRR7439153,stx1a_B,AB035142
SRR7439153,stx2a_A,X07865
SRR7439153,stx2a_B,X07865
SRR6929631,stx2c_A,AB015057
SRR6929631,stx2c_B,AB015057
SRR3195840,stx1a_A,AB035142
SRR3195840,stx1a_B,AB035142
SRR3195840,stx2a_A,X07865
SRR3195840,stx2a_B,X07865
SRR6929609,stx1a_A,AB035142
SRR6929609,stx1a_B,AB035142
SRR6929609,stx2a_A,X07865
SRR6929609,stx2a_B,X07865
SRR15277999,stx1a_A,AB035142
SRR15277999,stx1a_B,AB035142
SRR15277999,stx2a_A,X07865
SRR15277999,stx2a_B,X07865
SRR15277999,stx2a_A,X07865
SRR15277999,stx2a_B,X07865
SRR4301577,stx2c_A,AB015057
SRR4301577,stx2c_B,AB015057
SRR6929618,stx2c_A,AB015057
SRR6929618,stx2c_B,AB015057
SRR4301494,stx2c_A,AB015057
SRR4301494,stx2c_B,AB015057
SRR13160359,stx1a_A,AB035142
SRR13160359,stx1a_B,AB035142
SRR13160359,stx2a_A,X07865
SRR13160359,stx2a_B,X07865
SRR15415547,stx1a_A,AF461168
SRR15415547,stx1a_B,AF461168
SRR6118141,stx2a_A,X07865
SRR6118141,stx2a_B,X07865
SRR6118141,stx2a_A,X07865
SRR6118141,stx2a_B,X07865
SRR6929601,stx2c_A,AB015057
SRR6929601,stx2c_B,AB015057
SRR15376149,stx2a_A,X07865
SRR15376149,stx2a_B,X07865
SRR15376149,stx2c_A,AB015057
SRR15376149,stx2c_B,AB015057
SRR15376141,stx2a_A,X07865
SRR15376141,stx2a_B,X07865
SRR15376141,stx2c_A,AB015057
SRR15376141,stx2c_B,AB015057
SRR3205757,stx2a_A,X07865
SRR3205757,stx2a_B,X07865
SRR3205757,stx2c_A,AB015057
SRR3205757,stx2c_B,AB015057
SRR15415573,stx1a_A,AB035142
SRR15415573,stx1a_B,AB035142
SRR15415573,stx2a_A,X07865
SRR15415573,stx2a_B,X07865
SRR15376146,stx2a_A,X07865
SRR15376146,stx2a_B,X07865
SRR15376146,stx2c_A,AB015057
SRR15376146,stx2c_B,AB015057
SRR6118142,stx2a_A,X07865
SRR6118142,stx2a_B,X07865
SRR6118142,stx2a_A,X07865
SRR6118142,stx2a_B,X07865
SRR6929634,stx2a_A,X07865
SRR6929634,stx2a_B,X07865
SRR15376145,stx2a_A,X07865
SRR15376145,stx2a_B,X07865
SRR15376145,stx2c_A,AB015057
SRR15376145,stx2c_B,AB015057
SRR15277995,stx1a_A,AB035142
SRR15277995,stx1a_B,AB035142
SRR15277995,stx2a_A,X07865
SRR15277995,stx2a_B,X07865
SRR15277995,stx2a_A,X07865
SRR15277995,stx2a_B,X07865
SRR6929619,stx2c_A,AB015057
SRR6929619,stx2c_B,AB015057
SRR4301497,stx2a_A,X07865
SRR4301497,stx2a_B,X07865
SRR4301497,stx2a_A,AF461171
SRR4301497,stx2a_B,AF461171
SRR4301497,stx2c_A,AB015057
SRR4301497,stx2c_B,AB015057
SRR4301521,stx2c_A,AB015057
SRR4301521,stx2c_B,AB015057
SRR4301521,stx2c_A,AB015057
SRR4301521,stx2c_B,AB015057
SRR15376142,stx2a_A,X07865
SRR15376142,stx2a_B,X07865
SRR15376142,stx2c_A,AB015057
SRR15376142,stx2c_B,AB015057
SRR23929852,stx1a_A,AB035142
SRR23929852,stx1a_B,AB035142
SRR15376153,stx2a_A,X07865
SRR15376153,stx2a_B,X07865
SRR15376153,stx2c_A,AB015057
SRR15376153,stx2c_B,AB015057
SRR3191403,stx1a_A,AF461168
SRR3191403,stx1a_B,AF461168
SRR3191403,stx2c_A,AB015057
SRR3191403,stx2c_B,AB015057
DRR381743,stx2a_A,X07865
DRR381743,stx2a_B,X07865
SRR6929602,stx2c_A,AB015057
SRR6929602,stx2c_B,AB015057
SRR6929612,stx2c_A,AB015057
SRR6929612,stx2c_B,AB015057
SRR4301562,stx2c_A,AB015057
SRR4301562,stx2c_B,AB015057
SRR15415622,stx1a_A,AB035142
SRR15415622,stx1a_B,AB035142
SRR15415622,stx2a_A,X07865
SRR15415622,stx2a_B,X07865
SRR15415621,stx2a_A,X07865
SRR15415621,stx2a_B,X07865
SRR25603930,stx1a_A,AB035142
SRR25603930,stx1a_B,AB035142
SRR25603930,stx2a_A,X07865
SRR25603930,stx2a_B,X07865
SRR6929620,stx2c_A,AB015057
SRR6929620,stx2c_B,AB015057
SRR3195851,stx2c_A,AB015057
SRR3195851,stx2c_B,AB015057
SRR15376144,stx2a_A,X07865
SRR15376144,stx2a_B,X07865
SRR15376144,stx2c_A,AB015057
SRR15376144,stx2c_B,AB015057
SRR2914455,stx1a_A,AF461168
SRR2914455,stx1a_B,AF461168
SRR2914455,stx2c_A,AB015057
SRR2914455,stx2c_B,AB015057
SRR6929637,stx1a_A,AB035142
SRR6929637,stx1a_B,AB035142
SRR6929637,stx2a_A,X07865
SRR6929637,stx2a_B,X07865
SRR15415540,stx2c_A,EF441604
SRR15415540,stx2c_B,EF441604
SRR15376143,stx2a_A,X07865
SRR15376143,stx2a_B,X07865
SRR15376143,stx2c_A,AB015057
SRR15376143,stx2c_B,AB015057
SRR14419375,stx2c_A,AB015057
SRR14419375,stx2c_B,AB015057
SRR5413253,stx1a_A,AF461168
SRR5413253,stx1a_B,AF461168
SRR5413253,stx2c_A,AB015057
SRR5413253,stx2c_B,AB015057
SRR25551086,stx1a_A,AB035142
SRR25551086,stx1a_B,AB035142
SRR25551086,stx2a_A,X07865
SRR25551086,stx2a_B,X07865
SRR3224568,stx2c_A,M59432
SRR3224568,stx2c_B,M59432
SRR14419377,stx1a_A,AF461168
SRR14419377,stx1a_B,AF461168
SRR14419377,stx2c_A,AB015057
SRR14419377,stx2c_B,AB015057
DRR381745,stx2a_A,X07865
DRR381745,stx2a_B,X07865
SRR3224814,stx1a_A,AB035142
SRR3224814,stx1a_B,AB035142
SRR3224814,stx2a_A,X07865
SRR3224814,stx2a_B,X07865
SRR7460819,stx2c_A,AB015057
SRR7460819,stx2c_B,AB015057
SRR15415610,stx2c_A,AB015057
SRR15415610,stx2c_B,AB015057
SRR10119255,stx1a_A,AB035142
SRR10119255,stx1a_B,AB035142
SRR10119255,stx2a_A,X07865
SRR10119255,stx2a_B,X07865
SRR25523643,stx1a_A,AB035142
SRR25523643,stx1a_B,AB035142
SRR25523643,stx2a_A,X07865
SRR25523643,stx2a_B,X07865
SRR6929635,stx1a_A,AB035142
SRR6929635,stx1a_B,AB035142
SRR4301525,stx2c_A,AB015057
SRR4301525,stx2c_B,AB015057
SRR15415580,stx2a_A,X07865
SRR15415580,stx2a_B,X07865
SRR15415538,stx1a_A,AB035142
SRR15415538,stx1a_B,AB035142
SRR15415538,stx2c_A,AB015057
SRR15415538,stx2c_B,AB015057
SRR4301519,stx1a_A,AF461168
SRR4301519,stx1a_B,AF461168
SRR4301519,stx2c_A,AB015057
SRR4301519,stx2c_B,AB015057
SRR15415574,stx2a_A,X07865
SRR15415574,stx2a_B,X07865
SRR15415574,stx2a_A,AF461171
SRR15415574,stx2a_B,AF461171
SRR25603929,stx1a_A,AB035142
SRR25603929,stx1a_B,AB035142
SRR25603929,stx2a_A,X07865
SRR25603929,stx2a_B,X07865
SRR4301514,stx1a_A,AB035142
SRR4301514,stx1a_B,AB035142
SRR4301514,stx2a_A,X07865
SRR4301514,stx2a_B,X07865
SRR6929616,stx2c_A,AB015057
SRR6929616,stx2c_B,AB015057
SRR6929632,stx2a_A,X07865
SRR6929632,stx2a_B,X07865
SRR15415556,stx1a_A,AB035142
SRR15415556,stx1a_B,AB035142
SRR15415556,stx2c_A,AB015057
SRR15415556,stx2c_B,AB015057
SRR3195836,stx2c_A,AB015057
SRR3195836,stx2c_B,AB015057
SRR1509643,stx1a_A,AB035142
SRR1509643,stx1a_B,AB035142
SRR1509643,stx2a_A,X07865
SRR1509643,stx2a_B,X07865
DRR381749,stx2a_A,X07865
DRR381749,stx2a_B,X07865
SRR25523645,stx1a_A,AB035142
SRR25523645,stx1a_B,AB035142
SRR25523645,stx2a_A,X07865
SRR25523645,stx2a_B,X07865
SRR941218,stx2c_A,AB015057
SRR941218,stx2c_B,AB015057
SRR15415557,stx1a_A,AB035142
SRR15415557,stx1a_B,AB035142
SRR15415557,stx2a_A,X07865
SRR15415557,stx2a_B,X07865
SRR13160360,stx2a_A,X07865
SRR13160360,stx2a_B,X07865
SRR13160360,stx2c_A,AB015057
SRR13160360,stx2c_B,AB015057
SRR10506462,stx2a_A,X07865
SRR10506462,stx2a_B,X07865
DRR381616,stx2a_A,X07865
DRR381616,stx2a_B,X07865
DRR381616,stx2a_A,X07865
DRR381616,stx2a_B,X07865
DRR381616,stx2a_A,AF461171
DRR381616,stx2a_B,AF461171
DRR381616,stx2c_A,AB015057
DRR381616,stx2c_B,AB015057
SRR4301574,stx2c_A,AB015057
SRR4301574,stx2c_B,AB015057
SRR4301574,stx2c_A,AB015057
SRR4301574,stx2c_B,AB015057
SRR6929607,stx1a_A,AB035142
SRR6929607,stx1a_B,AB035142
SRR6929607,stx2a_A,X07865
SRR6929607,stx2a_B,X07865
SRR4301564,stx2c_A,AB015057
SRR4301564,stx2c_B,AB015057
DRR381735,stx2a_A,X07865
DRR381735,stx2a_B,X07865
SRR6929603,stx1a_A,AB035142
SRR6929603,stx1a_B,AB035142
SRR6929604,stx1a_A,AB035142
SRR6929604,stx1a_B,AB035142
DRR381669,stx2a_A,X07865
DRR381669,stx2a_B,X07865
DRR381607,stx2a_A,X07865
DRR381607,stx2a_B,X07865
SRR3180707,stx2a_A,X07865
SRR3180707,stx2a_B,X07865
SRR3180707,stx2c_A,AB015057
SRR3180707,stx2c_B,AB015057
SRR15376147,stx2a_A,X07865
SRR15376147,stx2a_B,X07865
SRR15376147,stx2c_A,AB015057
SRR15376147,stx2c_B,AB015057
DRR381603,stx2a_A,X07865
DRR381603,stx2a_B,X07865
SRR15376152,stx2a_A,X07865
SRR15376152,stx2a_B,X07865
SRR15376152,stx2a_A,X07865
SRR15376152,stx2a_B,X07865
SRR10337442,stx1a_A,AB035142
SRR10337442,stx1a_B,AB035142
SRR14419383,stx2a_A,X07865
SRR14419383,stx2a_B,X07865
SRR14419383,stx2c_A,M59432
SRR14419383,stx2c_B,M59432
SRR4301522,stx2c_A,AB015057
SRR4301522,stx2c_B,AB015057
SRR6929613,stx2c_A,AB015057
SRR6929613,stx2c_B,AB015057
DRR381635,stx2a_A,X07865
DRR381635,stx2a_B,X07865
SRR15415613,stx1a_A,AB035142
SRR15415613,stx1a_B,AB035142
SRR15415613,stx2a_A,X07865
SRR15415613,stx2a_B,X07865
SRR8292155,stx1a_A,AB035142
SRR8292155,stx1a_B,AB035142
SRR8292155,stx2a_A,X07865
SRR8292155,stx2a_B,X07865
SRR6929628,stx2c_A,AB015057
SRR6929628,stx2c_B,AB015057
SRR6929630,stx2c_A,AB015057
SRR6929630,stx2c_B,AB015057
SRR4301588,stx2c_A,AB015057
SRR4301588,stx2c_B,AB015057
SRR25603927,stx1a_A,AB035142
SRR25603927,stx1a_B,AB035142
SRR25603927,stx2a_A,X07865
SRR25603927,stx2a_B,X07865
SRR10119414,stx2a_A,X07865
SRR10119414,stx2a_B,X07865
DRR381601,stx2a_A,X07865
DRR381601,stx2a_B,X07865
SRR15376154,stx2a_A,X07865
SRR15376154,stx2a_B,X07865
SRR15376154,stx2c_A,AB015057
SRR15376154,stx2c_B,AB015057
SRR4301544,stx1a_A,AB035142
SRR4301544,stx1a_B,AB035142
SRR4301544,stx2a_A,X07865
SRR4301544,stx2a_B,X07865
SRR6929608,stx1a_A,AB035142
SRR6929608,stx1a_B,AB035142
SRR6929608,stx2a_A,X07865
SRR6929608,stx2a_B,X07865
SRR3195852,stx2c_A,AB015057
SRR3195852,stx2c_B,AB015057
SRR1714120,stx2a_A,X07865
SRR1714120,stx2a_B,X07865
SRR8192791,stx2a_A,X07865
SRR8192791,stx2a_B,X07865
SRR8192791,stx2c_A,AB015057
SRR8192791,stx2c_B,AB015057
SRR25510170,stx1a_A,AB035142
SRR25510170,stx1a_B,AB035142
SRR25510170,stx1a_A,AB035142
SRR25510170,stx1a_B,AB035142
SRR25510170,stx2a_A,X07865
SRR25510170,stx2a_B,X07865
SRR25510170,stx2a_A,X07865
SRR25510170,stx2a_B,X07865
SRR13167188,stx1a_A,AB035142
SRR13167188,stx1a_B,AB035142
SRR13167188,stx2a_A,X07865
SRR13167188,stx2a_B,X07865
SRR2914453,stx1a_A,AF461168
SRR2914453,stx1a_B,AF461168
SRR2914453,stx2c_A,AB015057
SRR2914453,stx2c_B,AB015057
SRR15415555,stx2c_A,AB015057
SRR15415555,stx2c_B,AB015057
SRR15415532,stx1a_A,AF461168
SRR15415532,stx1a_B,AF461168
SRR15415532,stx2c_A,AB015057
SRR15415532,stx2c_B,AB015057
SRR15415549,stx1a_A,AB035142
SRR15415549,stx1a_B,AB035142
SRR15415549,stx2a_A,X07865
SRR15415549,stx2a_B,X07865
SRR3205742,stx1a_A,AB035142
SRR3205742,stx1a_B,AB035142
SRR3205742,stx2a_A,X07865
SRR3205742,stx2a_B,X07865
SRR6929615,stx2c_A,AB015057
SRR6929615,stx2c_B,AB015057
SRR4301569,stx1a_A,AF461168
SRR4301569,stx1a_B,AF461168
SRR4301569,stx2c_A,AB015057
SRR4301569,stx2c_B,AB015057
SRR15376150,stx2a_A,X07865
SRR15376150,stx2a_B,X07865
SRR15376150,stx2c_A,AB015057
SRR15376150,stx2c_B,AB015057
SRR14419387,stx2a_A,X07865
SRR14419387,stx2a_B,X07865
SRR14419387,stx2a_A,AF461171
SRR14419387,stx2a_B,AF461171
SRR14419387,stx2c_A,AB015057
SRR14419387,stx2c_B,AB015057
DRR381701,stx2a_A,X07865
DRR381701,stx2a_B,X07865
DRR381701,stx2c_A,M59432
DRR381701,stx2c_B,M59432
SRR6929617,stx2c_A,AB015057
SRR6929617,stx2c_B,AB015057
SRR7896257,stx1a_A,AB035142
SRR7896257,stx1a_B,AB035142
SRR7896257,stx2a_A,X07865
SRR7896257,stx2a_B,X07865
SRR15674630,stx1a_A,AF461168
SRR15674630,stx1a_B,AF461168
SRR15674630,stx2c_A,AB015057
SRR15674630,stx2c_B,AB015057
SRR3195841,stx2c_A,AB015057
SRR3195841,stx2c_B,AB015057
SRR6929611,stx1a_A,AB035142
SRR6929611,stx1a_B,AB035142
SRR6929611,stx2a_A,X07865
SRR6929611,stx2a_B,X07865
DRR381634,stx2a_A,X07865
DRR381634,stx2a_B,X07865
SRR15376151,stx2a_A,X07865
SRR15376151,stx2a_B,X07865
SRR15376151,stx2c_A,AB015057
SRR15376151,stx2c_B,AB015057
SRR6929633,stx2a_A,X07865
SRR6929633,stx2a_B,X07865
DRR381744,stx2a_A,X07865
DRR381744,stx2a_B,X07865
SRR15415539,stx1a_A,AB035142
SRR15415539,stx1a_B,AB035142
SRR15415539,stx2a_A,X07865
SRR15415539,stx2a_B,X07865
SRR15415539,stx2d_A,EF441605
SRR15415539,stx2d_B,EF441605
SRR15415539,stx2d_A,FM998848
SRR15415539,stx2d_B,FM998848
DRR381723,stx2a_A,X07865
DRR381723,stx2a_B,X07865
DRR381723,stx2c_A,AB015057
DRR381723,stx2c_B,AB015057
SRR13160357,stx1a_A,AF461168
SRR13160357,stx1a_B,AF461168
SRR13160357,stx2c_A,AB015057
SRR13160357,stx2c_B,AB015057
SRR6929636,stx1a_A,AB035142
SRR6929636,stx1a_B,AB035142
SRR6929636,stx2a_A,X07865
SRR6929636,stx2a_B,X07865
SRR6373397,stx2a_A,X07865
SRR6373397,stx2a_B,X07865
SRR6373397,stx2c_A,AB015057
SRR6373397,stx2c_B,AB015057
SRR6929605,stx1a_A,AB035142
SRR6929605,stx1a_B,AB035142
SRR6929605,stx2a_A,X07865
SRR6929605,stx2a_B,X07865
SRR6929625,stx2c_A,AB015057
SRR6929625,stx2c_B,AB015057
SRR5870510,stx2a_A,X07865
SRR5870510,stx2a_B,X07865
SRR5870510,stx2c_A,AB015057
SRR5870510,stx2c_B,AB015057
DRR381661,stx2a_A,X07865
DRR381661,stx2a_B,X07865
DRR381661,stx2c_A,M59432
DRR381661,stx2c_B,M59432
DRR381665,stx2a_A,X07865
DRR381665,stx2a_B,X07865
DRR381665,stx2c_A,M59432
DRR381665,stx2c_B,M59432
SRR4301554,stx2c_A,AB015057
SRR4301554,stx2c_B,AB015057
SRR6929622,stx1a_A,AB035142
SRR6929622,stx1a_B,AB035142
SRR6929622,stx2c_A,AB015057
SRR6929622,stx2c_B,AB015057
SRR6929623,stx1a_A,AB035142
SRR6929623,stx1a_B,AB035142
SRR6929623,stx2a_A,X07865
SRR6929623,stx2a_B,X07865
SRR15415542,stx2c_A,AB015057
SRR15415542,stx2c_B,AB015057
SRR3180501,stx2a_A,X07865
SRR3180501,stx2a_B,X07865
SRR3180501,stx2c_A,M59432
SRR3180501,stx2c_B,M59432
SRR15415554,stx1a_A,AF461168
SRR15415554,stx1a_B,AF461168
SRR15415554,stx2c_A,AB015057
SRR15415554,stx2c_B,AB015057
SRR3180502,stx2a_A,X07865
SRR3180502,stx2a_B,X07865
SRR6929621,stx2c_A,AB015057
SRR6929621,stx2c_B,AB015057
SRR6929626,stx1a_A,AB035142
SRR6929626,stx1a_B,AB035142
SRR5864678,stx2a_A,X07865
SRR5864678,stx2a_B,X07865
SRR5864678,stx2c_A,AB015057
SRR5864678,stx2c_B,AB015057
SRR4301548,stx2a_A,X07865
SRR4301548,stx2a_B,X07865
SRR4301513,stx1_A,AJ279086
SRR4301513,stx1_B,AJ279086
SRR4301513,stx1a_A,AB035142
SRR4301513,stx1a_B,AB035142
SRR4301513,stx2c_A,AB015057
SRR4301513,stx2c_B,AB015057
SRR15415611,stx2c_A,AB015057
SRR15415611,stx2c_B,AB015057
SRR4301555,stx2a_A,X07865
SRR4301555,stx2a_B,X07865
SRR10520171,stx1a_A,AB035142
SRR10520171,stx1a_B,AB035142
SRR10520171,stx2c_A,AB015057
SRR10520171,stx2c_B,AB015057
SRR14419379,stx2a_A,X07865
SRR14419379,stx2a_B,X07865
SRR14419379,stx2c_A,M59432
SRR14419379,stx2c_B,M59432
SRR6929624,stx2c_A,AB015057
SRR6929624,stx2c_B,AB015057
SRR6929639,stx2c_A,AB015057
SRR6929639,stx2c_B,AB015057
SRR4301579,stx2c_A,AB015057
SRR4301579,stx2c_B,AB015057
SRR4301527,stx1a_A,AF461168
SRR4301527,stx1a_B,AF461168
SRR4301527,stx2c_A,AB015057
SRR4301527,stx2c_B,AB015057
SRR4301531,stx1a_A,AB035142
SRR4301531,stx1a_B,AB035142
SRR4301531,stx2a_A,X07865
SRR4301531,stx2a_B,X07865
SRR3195765,stx1a_A,AB035142
SRR3195765,stx1a_B,AB035142
SRR3195765,stx2a_A,X07865
SRR3195765,stx2a_B,X07865
